Gesamt;;;;;;;;;;;;;;;;;;
;"Einsätze 
in Tagen";"Gemessene 
Fahrzeuge";"Beanstandungen 
gesamt";"gültige
Beanstandungen ";Verwarnungen;Bußgelder;"<11 
;"Einsätze 
in Tagen";"Gemessene 
Fahrzeuge";"Beanstandungen 
gesamt";"gültige
Beanstandungen ";Verwarnungen;Bußgelder;"<11 
km/h";"11-15 
km/h";"16-20 
km/h";"21-25 
km/h";"26-30 
km/h";"31-40 
km/h";"41-50 
km/h";"51-60 
km/h";"61-70 
km/h";">70 
km/h";"schnellstes 
Fahrzeug";"voraussichtliche 
Einnahmen"
Januar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 €
Februar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 €
März;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 €
April;6;70.132;277;195;192;3;149;33;10;1;1;0;1;0;0;0;104;3.790 €
Mai;32;475.955;1.660;1.440;1.408;32;1.052;280;77;22;4;5;0;0;0;0;97;28.435 €
Juni;40;589.136;1.827;1.538;1.503;35;1.116;301;87;21;6;6;1;0;0;0;105;30.750 €
Juli;27;404.491;995;872;852;20;645;166;41;12;4;3;0;1;0;0;118;17.380 €
August;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 €
September;22;305.501;604;525;511;14;397;93;21;7;4;3;0;0;0;0;97;10.455 €
Oktober;38;437.331;599;501;486;15;364;100;22;11;3;1;0;0;0;0;100;10.070 €
November;12;153.799;163;138;136;2;105;27;4;1;0;1;0;0;0;0;91;2.630 €
Dezember;10;94.268;115;91;89;2;75;14;0;2;0;0;0;0;0;0;81;1.635 €
Gesamt;187;2.530.613;6.240;5.300;5.177;123;3.903;1.014;262;77;22;19;2;1;0;0;118;105.145 €
;;;;;;;;;;;;;;;;;;
Europabrücke;;;;;;;;;;;;;;;;;;
;"Einsätze 
in Tagen";"Gemessene 
Fahrzeuge";"Beanstandungen 
gesamt";"gültige
Beanstandungen ";Verwarnungen;Bußgelder;"<11 
km/h";"11-15 
km/h";"16-20 
km/h";"21-25 
km/h";"26-30 
km/h";"31-40 
km/h";"41-50 
km/h";"51-60 
km/h";"61-70 
km/h";">70 
km/h";"schnellstes 
Fahrzeug";"voraussichtliche 
Einnahmen"
Januar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 €
Februar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 €
März;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 €
April;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 €
Mai;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 €
Juni;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 €
Juli;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 €
August;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 €
September;4;56.923;819;688;661;27;446;158;57;12;9;5;1;0;0;0;104;15.495 €
Oktober;24;329.891;3.228;2.640;2.523;117;1.735;597;191;73;21;19;3;1;0;0;111;52.155 €
November;40;620.871;2.646;2.058;1.793;265;4;1.334;456;174;53;32;3;2;0;0;117;20.415 €
Dezember;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 €
Gesamt;68;1.007.685;6.693;5.386;4.977;409;1.735;1.334;456;174;53;32;3;2;0;0;117;88.065 €
